	urls
423	https://www.cars-data.com/en/audi-tt-roadster-2015/3272
424	https://www.cars-data.com/en/bmw-1-serie-2015/3275
425	https://www.cars-data.com/en/bmw-1-serie-2015/3276
426	https://www.cars-data.com/en/bmw-2-serie-cabrio-2015/3277
427	https://www.cars-data.com/en/bmw-2-serie-gran-tourer-2015/3406
428	https://www.cars-data.com/en/bmw-3-serie-2015/3407
429	https://www.cars-data.com/en/bmw-3-serie-touring-2015/3743
430	https://www.cars-data.com/en/bmw-6-serie-cabrio-2015/3282
431	https://www.cars-data.com/en/bmw-6-serie-coupe-2015/3281
432	https://www.cars-data.com/en/bmw-6-serie-gran-coupe-2015/3280
433	https://www.cars-data.com/en/bmw-7-serie-2015/3408
434	https://www.cars-data.com/en/bmw-x1-2015/3410
435	https://www.cars-data.com/en/cadillac-ats-coupe-2015/3571
436	https://www.cars-data.com/en/cadillac-cts-2015/3572
437	https://www.cars-data.com/en/cadillac-escalade-2015/3573
438	https://www.cars-data.com/en/cadillac-srx-2015/3752
439	https://www.cars-data.com/en/citroen-berlingo-multispace-2015/3413
440	https://www.cars-data.com/en/citroen-c4-2015/3291
441	https://www.cars-data.com/en/ds-3-2015/3553
442	https://www.cars-data.com/en/ds-3-cabrio-2015/3555
443	https://www.cars-data.com/en/ds-4-2015/3557
444	https://www.cars-data.com/en/ds-4-crossback-2015/3558
445	https://www.cars-data.com/en/ds-5-2015/3559
446	https://www.cars-data.com/en/ds-ds3-2015/4358
447	https://www.cars-data.com/en/ds-ds3-cabrio-2015/4360
448	https://www.cars-data.com/en/ferrari-488-gtb-2015/3414
449	https://www.cars-data.com/en/ferrari-488-spider-2015/3588
450	https://www.cars-data.com/en/fiat-500-2015/3416
451	https://www.cars-data.com/en/fiat-500c-2015/4176
452	https://www.cars-data.com/en/fiat-500c-2015/3415
